Name         Surname   Final-Average       Finale-Median      Category    
Surname169   Name169   2.72                2.40               vargsiukas  
Surname17    Name17    5.84                5.60               kietiakas   
Surname170   Name170   8.12                8.20               kietiakas   
Surname171   Name171   4.28                3.80               vargsiukas  
Surname172   Name172   7.52                8.40               kietiakas   
Surname173   Name173   2.84                2.60               vargsiukas  
Surname174   Name174   3.68                3.60               vargsiukas  
Surname175   Name175   7.20                7.60               kietiakas   
Surname176   Name176   8.68                9.00               kietiakas   
Surname177   Name177   3.12                2.40               vargsiukas  
Surname178   Name178   5.64                5.80               kietiakas   
Surname179   Name179   3.36                3.60               vargsiukas  
Surname18    Name18    4.52                4.60               vargsiukas  
Surname180   Name180   3.36                3.60               vargsiukas  
Surname181   Name181   2.28                2.20               vargsiukas  
Surname182   Name182   4.28                3.80               vargsiukas  
Surname183   Name183   2.68                2.60               vargsiukas  
Surname184   Name184   4.40                4.40               vargsiukas  
Surname185   Name185   3.60                3.60               vargsiukas  
Surname186   Name186   8.36                8.60               kietiakas   
Surname187   Name187   2.84                3.40               vargsiukas  
Surname188   Name188   7.76                8.00               kietiakas   
Surname189   Name189   8.24                8.00               kietiakas   
Surname19    Name19    3.76                4.00               vargsiukas  
Surname190   Name190   8.16                8.40               kietiakas   
Surname191   Name191   6.28                5.80               kietiakas   
Surname192   Name192   3.80                3.40               vargsiukas  
Surname193   Name193   3.84                3.60               vargsiukas  
Surname194   Name194   7.32                7.40               kietiakas   
Surname195   Name195   6.40                6.00               kietiakas   
Surname196   Name196   8.88                8.40               kietiakas   
Surname197   Name197   7.16                7.40               kietiakas   
Surname198   Name198   5.44                6.00               kietiakas   
Surname199   Name199   8.08                8.40               kietiakas   
Surname2     Name2     7.16                7.80               kietiakas   
Surname20    Name20    5.40                6.20               kietiakas   
Surname200   Name200   3.36                4.00               vargsiukas  
Surname201   Name201   7.00                7.00               kietiakas   
Surname202   Name202   2.68                2.20               vargsiukas  
Surname203   Name203   3.56                3.00               vargsiukas  
Surname204   Name204   3.40                3.40               vargsiukas  
Surname205   Name205   5.52                6.00               kietiakas   
Surname206   Name206   7.56                7.40               kietiakas   
Surname207   Name207   7.48                7.00               kietiakas   
Surname208   Name208   6.12                6.20               kietiakas   
Surname209   Name209   6.52                5.80               kietiakas   
Surname21    Name21    4.00                3.60               vargsiukas  
Surname210   Name210   3.52                3.60               vargsiukas  
Surname211   Name211   5.80                5.80               kietiakas   
Surname212   Name212   4.00                4.00               vargsiukas  
Surname213   Name213   8.08                8.40               kietiakas   
Surname214   Name214   7.32                7.00               kietiakas   
Surname215   Name215   5.24                4.60               kietiakas   
Surname216   Name216   1.96                1.80               vargsiukas  
Surname217   Name217   5.24                5.80               kietiakas   
Surname218   Name218   6.84                6.60               kietiakas   
Surname219   Name219   2.36                1.80               vargsiukas  
Surname22    Name22    7.76                8.40               kietiakas   
Surname220   Name220   7.64                7.40               kietiakas   
Surname221   Name221   8.28                8.20               kietiakas   
Surname222   Name222   6.76                6.20               kietiakas   
Surname223   Name223   5.36                5.60               kietiakas   
Surname224   Name224   6.00                6.00               kietiakas   
Surname225   Name225   5.44                5.20               kietiakas   
Surname226   Name226   5.92                6.00               kietiakas   
Surname227   Name227   6.28                6.60               kietiakas   
Surname228   Name228   4.92                4.60               vargsiukas  
Surname229   Name229   5.88                5.80               kietiakas   
Surname23    Name23    2.72                2.80               vargsiukas  
Surname230   Name230   6.64                7.20               kietiakas   
Surname231   Name231   7.92                8.00               kietiakas   
Surname232   Name232   3.60                3.60               vargsiukas  
Surname233   Name233   4.92                4.20               vargsiukas  
Surname234   Name234   4.24                4.00               vargsiukas  
Surname235   Name235   7.84                7.20               kietiakas   
Surname236   Name236   3.24                3.40               vargsiukas  
Surname237   Name237   4.80                5.60               vargsiukas  
Surname238   Name238   5.36                5.20               kietiakas   
Surname239   Name239   3.64                3.40               vargsiukas  
Surname24    Name24    7.48                7.40               kietiakas   
Surname240   Name240   2.48                2.40               vargsiukas  
Surname241   Name241   4.52                5.40               vargsiukas  
Surname242   Name242   2.60                2.60               vargsiukas  
Surname243   Name243   6.60                6.60               kietiakas   
Surname244   Name244   4.40                3.60               vargsiukas  
Surname245   Name245   4.24                4.40               vargsiukas  
Surname246   Name246   2.36                1.80               vargsiukas  
Surname247   Name247   5.08                4.20               kietiakas   
Surname248   Name248   3.64                3.80               vargsiukas  
Surname249   Name249   3.52                3.20               vargsiukas  
Surname25    Name25    8.48                8.00               kietiakas   
Surname250   Name250   5.56                5.80               kietiakas   
Surname251   Name251   8.08                8.40               kietiakas   
Surname252   Name252   5.88                6.20               kietiakas   
Surname253   Name253   8.48                8.80               kietiakas   
Surname254   Name254   3.20                2.80               vargsiukas  
Surname255   Name255   8.48                8.80               kietiakas   
Surname256   Name256   5.68                6.00               kietiakas   
Surname257   Name257   3.40                3.40               vargsiukas  
Surname258   Name258   5.72                5.40               kietiakas   
Surname259   Name259   2.36                1.80               vargsiukas  
Surname26    Name26    3.92                3.20               vargsiukas  
Surname260   Name260   7.08                7.00               kietiakas   
Surname261   Name261   6.20                5.80               kietiakas   
Surname262   Name262   3.64                4.20               vargsiukas  
Surname263   Name263   7.52                7.60               kietiakas   
Surname264   Name264   8.28                8.20               kietiakas   
Surname265   Name265   8.44                9.00               kietiakas   
Surname266   Name266   2.92                3.80               vargsiukas  
Surname267   Name267   4.36                4.20               vargsiukas  
Surname268   Name268   5.96                6.20               kietiakas   
Surname269   Name269   7.04                7.20               kietiakas   
Surname27    Name27    7.88                7.80               kietiakas   
Surname270   Name270   6.60                7.40               kietiakas   
Surname271   Name271   2.56                2.40               vargsiukas  
Surname272   Name272   4.64                4.80               vargsiukas  
Surname273   Name273   4.80                4.80               vargsiukas  
Surname274   Name274   8.00                7.60               kietiakas   
Surname275   Name275   5.04                4.80               kietiakas   
Surname276   Name276   6.56                6.40               kietiakas   
Surname277   Name277   6.36                7.00               kietiakas   
Surname278   Name278   5.92                6.00               kietiakas   
Surname279   Name279   5.52                5.60               kietiakas   
Surname28    Name28    3.40                3.40               vargsiukas  
Surname280   Name280   6.12                5.80               kietiakas   
Surname281   Name281   6.04                6.20               kietiakas   
Surname282   Name282   5.00                5.40               kietiakas   
Surname283   Name283   3.64                4.20               vargsiukas  
Surname284   Name284   4.92                4.20               vargsiukas  
Surname285   Name285   7.40                7.40               kietiakas   
Surname286   Name286   6.00                6.80               kietiakas   
Surname287   Name287   4.96                4.80               vargsiukas  
Surname288   Name288   8.08                8.00               kietiakas   
Surname289   Name289   7.48                7.80               kietiakas   
Surname29    Name29    4.40                4.40               vargsiukas  
Surname290   Name290   3.40                3.00               vargsiukas  
Surname291   Name291   3.16                3.00               vargsiukas  
Surname292   Name292   4.56                4.00               vargsiukas  
Surname293   Name293   2.88                2.40               vargsiukas  
Surname294   Name294   4.56                4.80               vargsiukas  
Surname295   Name295   3.36                3.20               vargsiukas  
Surname296   Name296   5.76                6.00               kietiakas   
Surname297   Name297   4.76                4.60               vargsiukas  
Surname298   Name298   4.24                4.80               vargsiukas  
Surname299   Name299   6.08                6.00               kietiakas   
Surname3     Name3     2.92                3.00               vargsiukas  
Surname30    Name30    5.36                5.60               kietiakas   
Surname300   Name300   6.28                5.80               kietiakas   
Surname301   Name301   3.48                3.40               vargsiukas  
Surname302   Name302   2.76                2.60               vargsiukas  
Surname303   Name303   4.56                4.40               vargsiukas  
Surname304   Name304   4.64                4.00               vargsiukas  
Surname305   Name305   8.88                10.00              kietiakas   
Surname306   Name306   4.08                3.20               vargsiukas  
Surname307   Name307   6.88                7.20               kietiakas   
Surname308   Name308   2.68                3.00               vargsiukas  
Surname309   Name309   3.88                3.80               vargsiukas  
Surname31    Name31    8.80                9.20               kietiakas   
Surname310   Name310   3.92                4.80               vargsiukas  
Surname311   Name311   6.48                6.40               kietiakas   
Surname312   Name312   5.28                4.40               kietiakas   
Surname313   Name313   4.56                4.40               vargsiukas  
Surname314   Name314   7.84                7.60               kietiakas   
Surname315   Name315   7.76                7.60               kietiakas   
Surname316   Name316   6.76                6.20               kietiakas   
Surname317   Name317   5.68                5.20               kietiakas   
Surname318   Name318   4.00                3.60               vargsiukas  
Surname319   Name319   4.72                4.80               vargsiukas  
Surname32    Name32    8.04                8.20               kietiakas   
Surname320   Name320   5.44                5.20               kietiakas   
Surname321   Name321   3.84                4.00               vargsiukas  
Surname322   Name322   6.76                6.60               kietiakas   
Surname323   Name323   7.68                7.20               kietiakas   
Surname324   Name324   4.40                4.00               vargsiukas  
Surname325   Name325   7.52                7.60               kietiakas   
Surname326   Name326   7.12                6.80               kietiakas   
Surname327   Name327   7.72                7.40               kietiakas   
Surname328   Name328   6.00                5.20               kietiakas   
Surname329   Name329   4.72                5.20               vargsiukas  
Surname33    Name33    5.52                6.00               kietiakas   
Surname330   Name330   7.68                7.20               kietiakas   
Surname331   Name331   3.52                3.60               vargsiukas  
Surname332   Name332   6.24                6.00               kietiakas   
Surname333   Name333   3.48                3.40               vargsiukas  
Surname334   Name334   7.60                7.60               kietiakas   
Surname335   Name335   7.92                7.20               kietiakas   
Surname336   Name336   5.72                5.80               kietiakas   
Surname337   Name337   3.92                3.60               vargsiukas  
Surname338   Name338   3.60                3.60               vargsiukas  
Surname339   Name339   6.96                6.40               kietiakas   
Surname34    Name34    7.00                6.60               kietiakas   
Surname340   Name340   6.84                6.60               kietiakas   
Surname341   Name341   7.60                7.20               kietiakas   
Surname342   Name342   5.80                6.20               kietiakas   
Surname343   Name343   5.88                6.20               kietiakas   
Surname344   Name344   4.00                3.60               vargsiukas  
Surname345   Name345   4.08                3.60               vargsiukas  
Surname346   Name346   3.96                3.80               vargsiukas  
Surname347   Name347   6.80                6.80               kietiakas   
Surname348   Name348   8.48                8.80               kietiakas   
Surname349   Name349   4.40                4.00               vargsiukas  
Surname35    Name35    6.04                6.20               kietiakas   
Surname350   Name350   5.28                5.60               kietiakas   
Surname351   Name351   6.24                6.40               kietiakas   
Surname352   Name352   3.88                4.20               vargsiukas  
Surname353   Name353   8.80                9.20               kietiakas   
Surname354   Name354   3.92                3.20               vargsiukas  
Surname355   Name355   3.52                2.80               vargsiukas  
Surname356   Name356   7.72                8.20               kietiakas   
Surname357   Name357   2.60                2.20               vargsiukas  
Surname358   Name358   7.96                8.20               kietiakas   
Surname359   Name359   5.48                5.00               kietiakas   
Surname36    Name36    5.28                5.20               kietiakas   
Surname360   Name360   2.48                2.40               vargsiukas  
Surname361   Name361   3.88                4.20               vargsiukas  
Surname362   Name362   5.80                5.80               kietiakas   
Surname363   Name363   8.20                8.20               kietiakas   
Surname364   Name364   7.64                7.40               kietiakas   
Surname365   Name365   6.04                6.60               kietiakas   
Surname366   Name366   6.60                7.00               kietiakas   
Surname367   Name367   2.88                2.80               vargsiukas  
Surname368   Name368   4.84                5.00               vargsiukas  
Surname369   Name369   4.52                3.80               vargsiukas  
Surname37    Name37    5.84                6.80               kietiakas   
Surname370   Name370   3.96                3.80               vargsiukas  
Surname371   Name371   2.96                2.80               vargsiukas  
Surname372   Name372   2.92                3.00               vargsiukas  
Surname373   Name373   8.08                8.00               kietiakas   
Surname374   Name374   4.12                4.20               vargsiukas  
Surname375   Name375   2.96                3.20               vargsiukas  
Surname376   Name376   5.04                4.80               kietiakas   
Surname377   Name377   4.80                4.40               vargsiukas  
Surname378   Name378   5.64                5.00               kietiakas   
Surname379   Name379   4.04                4.20               vargsiukas  
Surname38    Name38    2.56                2.40               vargsiukas  
Surname380   Name380   5.60                6.40               kietiakas   
Surname381   Name381   8.16                8.40               kietiakas   
Surname382   Name382   6.16                6.40               kietiakas   
Surname383   Name383   2.92                3.00               vargsiukas  
Surname384   Name384   6.92                7.80               kietiakas   
Surname385   Name385   7.16                7.00               kietiakas   
Surname386   Name386   6.36                6.60               kietiakas   
Surname387   Name387   3.56                3.40               vargsiukas  
Surname388   Name388   6.56                6.40               kietiakas   
Surname389   Name389   5.44                6.00               kietiakas   
Surname39    Name39    3.88                3.80               vargsiukas  
Surname390   Name390   5.20                5.60               kietiakas   
Surname391   Name391   5.40                5.80               kietiakas   
Surname392   Name392   2.84                2.20               vargsiukas  
Surname393   Name393   3.92                3.60               vargsiukas  
Surname394   Name394   4.72                4.40               vargsiukas  
Surname395   Name395   4.20                3.80               vargsiukas  
Surname396   Name396   6.00                5.60               kietiakas   
Surname397   Name397   6.44                6.60               kietiakas   
Surname398   Name398   3.20                2.80               vargsiukas  
Surname399   Name399   5.36                5.60               kietiakas   
Surname4     Name4     2.44                2.20               vargsiukas  
Surname40    Name40    5.04                5.20               kietiakas   
Surname400   Name400   5.84                5.20               kietiakas   
Surname401   Name401   6.24                5.60               kietiakas   
Surname402   Name402   8.60                9.00               kietiakas   
Surname403   Name403   6.88                6.80               kietiakas   
Surname404   Name404   5.80                5.80               kietiakas   
Surname405   Name405   4.48                4.40               vargsiukas  
Surname406   Name406   3.68                4.40               vargsiukas  
Surname407   Name407   6.08                6.40               kietiakas   
Surname408   Name408   3.16                2.20               vargsiukas  
Surname409   Name409   6.72                7.20               kietiakas   
Surname41    Name41    4.68                4.60               vargsiukas  
Surname410   Name410   9.28                9.60               kietiakas   
Surname411   Name411   3.88                3.40               vargsiukas  
Surname412   Name412   3.80                3.80               vargsiukas  
Surname413   Name413   3.56                3.80               vargsiukas  
Surname414   Name414   3.00                2.60               vargsiukas  
Surname415   Name415   3.96                3.80               vargsiukas  
Surname416   Name416   6.92                6.60               kietiakas   
Surname417   Name417   4.84                4.60               vargsiukas  
Surname418   Name418   6.04                5.80               kietiakas   
Surname419   Name419   4.96                4.80               vargsiukas  
Surname42    Name42    4.80                4.40               vargsiukas  
Surname420   Name420   3.20                3.20               vargsiukas  
Surname421   Name421   7.56                7.80               kietiakas   
Surname422   Name422   3.52                3.20               vargsiukas  
Surname423   Name423   7.24                7.40               kietiakas   
Surname424   Name424   5.76                5.60               kietiakas   
Surname425   Name425   4.32                4.80               vargsiukas  
Surname426   Name426   3.48                3.00               vargsiukas  
Surname427   Name427   6.84                7.80               kietiakas   
Surname428   Name428   6.56                6.40               kietiakas   
Surname429   Name429   3.00                3.00               vargsiukas  
Surname43    Name43    6.48                6.40               kietiakas   
Surname430   Name430   2.88                3.20               vargsiukas  
Surname431   Name431   3.40                3.00               vargsiukas  
Surname432   Name432   6.28                6.20               kietiakas   
Surname433   Name433   4.68                4.60               vargsiukas  
Surname434   Name434   7.24                7.40               kietiakas   
Surname435   Name435   6.40                6.40               kietiakas   
Surname436   Name436   4.92                5.00               vargsiukas  
Surname437   Name437   5.96                5.80               kietiakas   
Surname438   Name438   5.92                5.60               kietiakas   
Surname439   Name439   3.52                3.60               vargsiukas  
Surname44    Name44    5.48                5.00               kietiakas   
Surname440   Name440   3.00                3.40               vargsiukas  
Surname441   Name441   8.12                8.60               kietiakas   
Surname442   Name442   5.08                5.00               kietiakas   
Surname443   Name443   8.88                9.20               kietiakas   
Surname444   Name444   7.64                7.40               kietiakas   
Surname445   Name445   4.68                4.60               vargsiukas  
Surname446   Name446   6.04                6.20               kietiakas   
Surname447   Name447   7.40                7.80               kietiakas   
Surname448   Name448   2.96                2.40               vargsiukas  
Surname449   Name449   3.08                3.40               vargsiukas  
Surname45    Name45    2.28                2.20               vargsiukas  
Surname450   Name450   3.32                3.40               vargsiukas  
Surname451   Name451   3.24                3.00               vargsiukas  
Surname452   Name452   3.08                2.60               vargsiukas  
Surname453   Name453   5.52                5.60               kietiakas   
Surname454   Name454   5.28                5.60               kietiakas   
Surname455   Name455   1.40                1.00               vargsiukas  
Surname456   Name456   7.80                7.80               kietiakas   
Surname457   Name457   2.92                3.00               vargsiukas  
Surname458   Name458   3.60                3.20               vargsiukas  
Surname459   Name459   7.12                6.80               kietiakas   
Surname46    Name46    7.56                7.80               kietiakas   
Surname460   Name460   6.52                6.20               kietiakas   
Surname461   Name461   8.12                7.80               kietiakas   
Surname462   Name462   6.24                6.00               kietiakas   
Surname463   Name463   3.08                3.40               vargsiukas  
Surname464   Name464   3.52                3.60               vargsiukas  
Surname465   Name465   6.92                7.00               kietiakas   
Surname466   Name466   6.84                7.00               kietiakas   
Surname467   Name467   3.92                4.80               vargsiukas  
Surname468   Name468   6.28                5.80               kietiakas   
Surname469   Name469   7.52                7.60               kietiakas   
Surname47    Name47    5.28                6.00               kietiakas   
Surname470   Name470   7.56                7.40               kietiakas   
Surname471   Name471   5.84                5.60               kietiakas   
Surname472   Name472   4.80                4.80               vargsiukas  
Surname473   Name473   6.16                6.40               kietiakas   
Surname474   Name474   5.84                6.00               kietiakas   
Surname475   Name475   6.08                6.40               kietiakas   
Surname476   Name476   4.12                3.80               vargsiukas  
Surname477   Name477   1.32                1.40               vargsiukas  
Surname478   Name478   3.08                3.00               vargsiukas  
Surname479   Name479   6.40                6.40               kietiakas   
Surname48    Name48    4.48                4.40               vargsiukas  
Surname480   Name480   7.44                6.80               kietiakas   
Surname481   Name481   4.76                5.00               vargsiukas  
Surname482   Name482   7.80                7.80               kietiakas   
Surname483   Name483   8.48                8.80               kietiakas   
Surname484   Name484   7.36                6.80               kietiakas   
Surname485   Name485   3.08                3.40               vargsiukas  
Surname486   Name486   5.72                5.80               kietiakas   
Surname487   Name487   3.80                4.20               vargsiukas  
Surname488   Name488   5.44                5.60               kietiakas   
Surname489   Name489   3.00                3.00               vargsiukas  
Surname49    Name49    6.64                6.40               kietiakas   
Surname490   Name490   7.60                7.20               kietiakas   
Surname491   Name491   5.44                6.00               kietiakas   
Surname492   Name492   2.84                2.60               vargsiukas  
Surname493   Name493   4.52                3.80               vargsiukas  
Surname494   Name494   3.92                4.40               vargsiukas  
Surname495   Name495   3.68                4.00               vargsiukas  
Surname496   Name496   5.92                6.40               kietiakas   
Surname497   Name497   7.84                8.00               kietiakas   
Surname498   Name498   6.92                7.00               kietiakas   
Surname499   Name499   4.76                5.00               vargsiukas  
Surname5     Name5     7.20                7.60               kietiakas   
Surname50    Name50    6.88                7.20               kietiakas   
Surname500   Name500   3.32                3.80               vargsiukas  
Surname501   Name501   7.04                7.20               kietiakas   
Surname502   Name502   6.16                6.40               kietiakas   
Surname503   Name503   7.96                8.20               kietiakas   
Surname504   Name504   4.32                4.00               vargsiukas  
Surname505   Name505   2.52                2.20               vargsiukas  
Surname506   Name506   4.96                5.60               vargsiukas  
Surname507   Name507   8.88                8.80               kietiakas   
Surname508   Name508   7.60                7.60               kietiakas   
Surname509   Name509   2.12                1.80               vargsiukas  
Surname51    Name51    7.16                7.00               kietiakas   
Surname510   Name510   7.60                8.00               kietiakas   
Surname511   Name511   7.88                8.20               kietiakas   
Surname512   Name512   5.24                5.40               kietiakas   
Surname513   Name513   6.00                6.40               kietiakas   
Surname514   Name514   2.80                2.40               vargsiukas  
Surname515   Name515   2.08                2.00               vargsiukas  
Surname516   Name516   6.28                6.20               kietiakas   
Surname517   Name517   4.52                3.80               vargsiukas  
Surname518   Name518   7.80                7.80               kietiakas   
Surname519   Name519   7.44                7.20               kietiakas   
Surname52    Name52    6.68                7.00               kietiakas   
Surname520   Name520   7.00                7.00               kietiakas   
Surname521   Name521   4.76                4.60               vargsiukas  
Surname522   Name522   6.40                6.00               kietiakas   
Surname523   Name523   5.28                5.60               kietiakas   
Surname524   Name524   5.80                5.80               kietiakas   
Surname525   Name525   9.04                9.20               kietiakas   
Surname526   Name526   6.44                6.20               kietiakas   
Surname527   Name527   1.48                1.40               vargsiukas  
Surname528   Name528   3.88                3.80               vargsiukas  
Surname529   Name529   8.80                9.20               kietiakas   
Surname53    Name53    3.20                2.80               vargsiukas  
Surname530   Name530   4.88                5.20               vargsiukas  
Surname531   Name531   5.88                5.80               kietiakas   
Surname532   Name532   7.36                8.00               kietiakas   
Surname533   Name533   7.80                7.40               kietiakas   
Surname534   Name534   3.60                3.20               vargsiukas  
Surname535   Name535   2.68                2.60               vargsiukas  
Surname536   Name536   7.76                6.80               kietiakas   
Surname537   Name537   6.00                6.00               kietiakas   
Surname538   Name538   8.72                9.20               kietiakas   
Surname539   Name539   4.60                5.00               vargsiukas  
Surname54    Name54    4.00                3.20               vargsiukas  
Surname540   Name540   5.04                4.80               kietiakas   
Surname541   Name541   6.28                6.20               kietiakas   
Surname542   Name542   3.68                3.60               vargsiukas  
Surname543   Name543   4.40                4.40               vargsiukas  
Surname544   Name544   6.48                6.00               kietiakas   
Surname545   Name545   4.96                5.20               vargsiukas  
Surname546   Name546   7.08                7.00               kietiakas   
Surname547   Name547   7.76                7.60               kietiakas   
Surname548   Name548   6.76                7.00               kietiakas   
Surname549   Name549   8.96                9.60               kietiakas   
Surname55    Name55    2.52                2.20               vargsiukas  
Surname550   Name550   6.16                6.80               kietiakas   
Surname551   Name551   3.60                3.20               vargsiukas  
Surname552   Name552   4.56                4.40               vargsiukas  
Surname553   Name553   7.12                7.20               kietiakas   
Surname554   Name554   5.60                5.60               kietiakas   
Surname555   Name555   8.20                8.60               kietiakas   
Surname556   Name556   7.24                7.80               kietiakas   
Surname557   Name557   1.88                1.80               vargsiukas  
Surname558   Name558   3.92                4.00               vargsiukas  
Surname559   Name559   5.88                5.40               kietiakas   
Surname56    Name56    4.40                4.40               vargsiukas  
Surname560   Name560   7.32                7.40               kietiakas   
Surname561   Name561   7.32                7.00               kietiakas   
Surname562   Name562   7.56                7.40               kietiakas   
Surname563   Name563   5.24                5.80               kietiakas   
Surname564   Name564   5.88                5.80               kietiakas   
Surname565   Name565   4.04                3.80               vargsiukas  
Surname566   Name566   5.28                5.60               kietiakas   
Surname567   Name567   2.04                1.80               vargsiukas  
Surname568   Name568   8.32                9.20               kietiakas   
Surname569   Name569   4.28                4.20               vargsiukas  
Surname57    Name57    5.96                6.20               kietiakas   
Surname570   Name570   2.52                2.60               vargsiukas  
Surname571   Name571   4.04                4.20               vargsiukas  
Surname572   Name572   3.40                4.20               vargsiukas  
Surname573   Name573   4.96                4.40               vargsiukas  
Surname574   Name574   3.88                4.20               vargsiukas  
Surname575   Name575   4.04                3.80               vargsiukas  
Surname576   Name576   5.76                6.40               kietiakas   
Surname577   Name577   3.72                3.80               vargsiukas  
Surname578   Name578   2.44                2.20               vargsiukas  
Surname579   Name579   8.08                7.60               kietiakas   
Surname58    Name58    6.40                6.40               kietiakas   
Surname580   Name580   6.92                6.60               kietiakas   
Surname581   Name581   8.20                9.00               kietiakas   
Surname582   Name582   8.56                8.80               kietiakas   
Surname583   Name583   6.76                7.00               kietiakas   
Surname584   Name584   3.08                3.00               vargsiukas  
Surname585   Name585   8.96                8.80               kietiakas   
Surname586   Name586   4.80                4.80               vargsiukas  
Surname587   Name587   7.32                7.40               kietiakas   
Surname588   Name588   5.08                5.00               kietiakas   
Surname589   Name589   5.44                4.40               kietiakas   
Surname59    Name59    5.92                5.60               kietiakas   
Surname590   Name590   5.20                6.00               kietiakas   
Surname591   Name591   4.84                5.00               vargsiukas  
Surname592   Name592   4.80                4.80               vargsiukas  
Surname593   Name593   6.04                5.40               kietiakas   
Surname594   Name594   8.12                9.00               kietiakas   
Surname595   Name595   5.48                5.40               kietiakas   
Surname596   Name596   4.52                5.00               vargsiukas  
Surname597   Name597   2.44                2.20               vargsiukas  
Surname598   Name598   7.76                8.00               kietiakas   
Surname599   Name599   7.56                7.80               kietiakas   
Surname6     Name6     4.20                4.60               vargsiukas  
Surname60    Name60    8.48                8.80               kietiakas   
Surname600   Name600   8.64                8.80               kietiakas   
Surname601   Name601   4.40                4.80               vargsiukas  
Surname602   Name602   6.16                5.60               kietiakas   
Surname603   Name603   5.44                4.80               kietiakas   
Surname604   Name604   4.16                4.40               vargsiukas  
Surname605   Name605   8.12                8.20               kietiakas   
Surname606   Name606   3.48                3.40               vargsiukas  
Surname607   Name607   4.20                5.00               vargsiukas  
Surname608   Name608   5.40                5.80               kietiakas   
Surname609   Name609   8.40                8.80               kietiakas   
Surname61    Name61    5.48                5.40               kietiakas   
Surname610   Name610   7.68                8.00               kietiakas   
