Name          Surname    Final-Average       Finale-Median      Category    
Surname1062   Name1062   3.72                4.20               vargsiukas  
Surname1063   Name1063   7.16                8.20               kietiakas   
Surname1064   Name1064   7.04                7.20               kietiakas   
Surname1065   Name1065   4.96                4.80               vargsiukas  
Surname1066   Name1066   2.84                2.60               vargsiukas  
Surname1067   Name1067   2.04                1.80               vargsiukas  
Surname1068   Name1068   3.56                3.40               vargsiukas  
Surname1069   Name1069   6.28                5.80               kietiakas   
Surname107    Name107    2.48                2.40               vargsiukas  
Surname1070   Name1070   5.68                6.40               kietiakas   
Surname1071   Name1071   5.80                5.40               kietiakas   
Surname1072   Name1072   8.80                8.80               kietiakas   
Surname1073   Name1073   7.92                7.60               kietiakas   
Surname1074   Name1074   6.44                7.00               kietiakas   
Surname1075   Name1075   6.44                6.60               kietiakas   
Surname1076   Name1076   6.12                6.60               kietiakas   
Surname1077   Name1077   5.04                4.80               kietiakas   
Surname1078   Name1078   8.08                8.80               kietiakas   
Surname1079   Name1079   7.48                7.80               kietiakas   
Surname108    Name108    7.00                6.20               kietiakas   
Surname1080   Name1080   7.04                7.20               kietiakas   
Surname1081   Name1081   6.76                7.00               kietiakas   
Surname1082   Name1082   3.92                3.60               vargsiukas  
Surname1083   Name1083   4.36                5.00               vargsiukas  
Surname1084   Name1084   7.36                7.60               kietiakas   
Surname1085   Name1085   3.52                3.20               vargsiukas  
Surname1086   Name1086   8.28                8.60               kietiakas   
Surname1087   Name1087   3.68                3.60               vargsiukas  
Surname1088   Name1088   2.60                2.60               vargsiukas  
Surname1089   Name1089   5.84                6.00               kietiakas   
Surname109    Name109    2.96                2.40               vargsiukas  
Surname1090   Name1090   5.12                5.20               kietiakas   
Surname1091   Name1091   5.76                5.60               kietiakas   
Surname1092   Name1092   3.40                4.20               vargsiukas  
Surname1093   Name1093   5.88                6.60               kietiakas   
Surname1094   Name1094   5.00                5.40               kietiakas   
Surname1095   Name1095   7.40                7.80               kietiakas   
Surname1096   Name1096   6.84                6.60               kietiakas   
Surname1097   Name1097   4.08                4.00               vargsiukas  
Surname1098   Name1098   3.92                4.00               vargsiukas  
Surname1099   Name1099   4.12                4.20               vargsiukas  
Surname11     Name11     6.52                7.00               kietiakas   
Surname110    Name110    4.68                5.40               vargsiukas  
Surname1100   Name1100   2.52                3.00               vargsiukas  
Surname1101   Name1101   3.68                3.60               vargsiukas  
Surname1102   Name1102   9.20                9.60               kietiakas   
Surname1103   Name1103   7.44                8.00               kietiakas   
Surname1104   Name1104   7.44                7.20               kietiakas   
Surname1105   Name1105   2.64                2.80               vargsiukas  
Surname1106   Name1106   4.08                4.00               vargsiukas  
Surname1107   Name1107   7.84                7.20               kietiakas   
Surname1108   Name1108   8.96                9.60               kietiakas   
Surname1109   Name1109   4.80                4.40               vargsiukas  
Surname111    Name111    4.76                5.00               vargsiukas  
Surname1110   Name1110   7.72                8.60               kietiakas   
Surname1111   Name1111   5.36                5.60               kietiakas   
Surname1112   Name1112   4.84                4.60               vargsiukas  
Surname1113   Name1113   4.08                4.40               vargsiukas  
Surname1114   Name1114   8.96                9.20               kietiakas   
Surname1115   Name1115   5.28                5.60               kietiakas   
Surname1116   Name1116   7.84                8.40               kietiakas   
Surname1117   Name1117   6.24                6.00               kietiakas   
Surname1118   Name1118   8.20                8.20               kietiakas   
Surname1119   Name1119   5.64                5.80               kietiakas   
Surname112    Name112    3.36                3.20               vargsiukas  
Surname1120   Name1120   8.04                8.60               kietiakas   
Surname1121   Name1121   4.84                5.00               vargsiukas  
Surname1122   Name1122   7.32                7.00               kietiakas   
Surname1123   Name1123   3.52                2.80               vargsiukas  
Surname1124   Name1124   3.16                3.00               vargsiukas  
Surname1125   Name1125   8.32                8.80               kietiakas   
Surname1126   Name1126   7.72                8.20               kietiakas   
Surname1127   Name1127   8.08                8.40               kietiakas   
Surname1128   Name1128   7.16                7.40               kietiakas   
Surname1129   Name1129   3.96                3.40               vargsiukas  
Surname113    Name113    6.96                7.20               kietiakas   
Surname1130   Name1130   6.52                7.40               kietiakas   
Surname1131   Name1131   3.72                3.00               vargsiukas  
Surname1132   Name1132   3.36                3.20               vargsiukas  
Surname1133   Name1133   8.04                8.20               kietiakas   
Surname1134   Name1134   8.48                8.80               kietiakas   
Surname1135   Name1135   7.40                7.40               kietiakas   
Surname1136   Name1136   7.88                8.20               kietiakas   
Surname1137   Name1137   7.48                7.00               kietiakas   
Surname1138   Name1138   4.24                4.00               vargsiukas  
Surname1139   Name1139   5.80                5.40               kietiakas   
Surname114    Name114    7.92                7.20               kietiakas   
Surname1140   Name1140   4.04                4.20               vargsiukas  
Surname1141   Name1141   4.28                4.20               vargsiukas  
Surname1142   Name1142   6.40                6.40               kietiakas   
Surname1143   Name1143   6.32                6.80               kietiakas   
Surname1144   Name1144   3.68                3.60               vargsiukas  
Surname1145   Name1145   5.44                5.20               kietiakas   
Surname1146   Name1146   5.04                5.20               kietiakas   
Surname1147   Name1147   5.44                5.20               kietiakas   
Surname1148   Name1148   3.60                4.00               vargsiukas  
Surname1149   Name1149   5.76                6.00               kietiakas   
Surname115    Name115    1.80                1.00               vargsiukas  
Surname1150   Name1150   8.16                7.60               kietiakas   
Surname1151   Name1151   6.20                5.80               kietiakas   
Surname1152   Name1152   3.36                3.60               vargsiukas  
Surname1153   Name1153   3.88                3.40               vargsiukas  
Surname1154   Name1154   2.92                3.40               vargsiukas  
Surname1155   Name1155   5.68                5.60               kietiakas   
Surname1156   Name1156   6.76                7.00               kietiakas   
Surname1157   Name1157   6.64                6.00               kietiakas   
Surname1158   Name1158   3.96                4.60               vargsiukas  
Surname1159   Name1159   5.08                4.60               kietiakas   
Surname116    Name116    5.12                4.80               kietiakas   
Surname1160   Name1160   6.68                7.00               kietiakas   
Surname1161   Name1161   6.60                7.00               kietiakas   
Surname1162   Name1162   7.44                7.60               kietiakas   
Surname1163   Name1163   6.20                5.80               kietiakas   
Surname1164   Name1164   7.00                6.60               kietiakas   
Surname1165   Name1165   7.44                7.60               kietiakas   
Surname1166   Name1166   2.76                3.40               vargsiukas  
Surname1167   Name1167   8.04                8.60               kietiakas   
Surname1168   Name1168   4.52                5.00               vargsiukas  
Surname1169   Name1169   4.92                4.60               vargsiukas  
Surname117    Name117    4.40                4.40               vargsiukas  
Surname1170   Name1170   6.56                6.40               kietiakas   
Surname1171   Name1171   7.20                7.20               kietiakas   
Surname1172   Name1172   4.36                4.60               vargsiukas  
Surname1173   Name1173   7.56                7.40               kietiakas   
Surname1174   Name1174   6.36                6.20               kietiakas   
Surname1175   Name1175   6.28                5.80               kietiakas   
Surname1176   Name1176   8.48                9.60               kietiakas   
Surname1177   Name1177   6.20                6.60               kietiakas   
Surname1178   Name1178   3.84                3.60               vargsiukas  
Surname1179   Name1179   7.72                7.80               kietiakas   
Surname118    Name118    4.08                4.40               vargsiukas  
Surname1180   Name1180   4.08                4.40               vargsiukas  
Surname1181   Name1181   5.20                5.60               kietiakas   
Surname1182   Name1182   7.40                7.40               kietiakas   
Surname1183   Name1183   4.64                5.20               vargsiukas  
Surname1184   Name1184   4.80                5.20               vargsiukas  
Surname1185   Name1185   6.08                6.00               kietiakas   
Surname1186   Name1186   4.64                4.80               vargsiukas  
Surname1187   Name1187   6.88                7.20               kietiakas   
Surname1188   Name1188   5.84                6.00               kietiakas   
Surname1189   Name1189   7.12                6.80               kietiakas   
Surname119    Name119    7.48                7.80               kietiakas   
Surname1190   Name1190   5.24                5.00               kietiakas   
Surname1191   Name1191   3.68                3.60               vargsiukas  
Surname1192   Name1192   7.60                8.00               kietiakas   
Surname1193   Name1193   3.44                3.20               vargsiukas  
Surname1194   Name1194   5.28                5.20               kietiakas   
Surname1195   Name1195   6.16                6.00               kietiakas   
Surname1196   Name1196   4.72                4.80               vargsiukas  
Surname1197   Name1197   2.60                2.20               vargsiukas  
Surname1198   Name1198   8.40                8.40               kietiakas   
Surname1199   Name1199   3.36                3.60               vargsiukas  
Surname12     Name12     7.64                8.20               kietiakas   
Surname120    Name120    3.84                4.00               vargsiukas  
Surname1200   Name1200   3.84                4.40               vargsiukas  
Surname1201   Name1201   2.20                2.20               vargsiukas  
Surname1202   Name1202   5.28                4.80               kietiakas   
Surname1203   Name1203   5.56                5.80               kietiakas   
Surname1204   Name1204   7.88                7.40               kietiakas   
Surname1205   Name1205   7.20                6.80               kietiakas   
Surname1206   Name1206   2.56                2.40               vargsiukas  
Surname1207   Name1207   7.72                7.80               kietiakas   
Surname1208   Name1208   4.28                4.20               vargsiukas  
Surname1209   Name1209   6.24                7.60               kietiakas   
Surname121    Name121    6.24                5.60               kietiakas   
Surname1210   Name1210   3.24                3.80               vargsiukas  
Surname1211   Name1211   2.40                2.00               vargsiukas  
Surname1212   Name1212   7.56                7.00               kietiakas   
Surname1213   Name1213   2.84                2.20               vargsiukas  
Surname1214   Name1214   3.92                3.60               vargsiukas  
Surname1215   Name1215   5.28                5.60               kietiakas   
Surname1216   Name1216   5.20                5.20               kietiakas   
Surname1217   Name1217   5.64                6.20               kietiakas   
Surname1218   Name1218   8.76                9.00               kietiakas   
Surname1219   Name1219   3.00                3.40               vargsiukas  
Surname122    Name122    4.40                4.80               vargsiukas  
Surname1220   Name1220   9.20                9.60               kietiakas   
Surname1221   Name1221   5.32                5.00               kietiakas   
Surname1222   Name1222   6.44                6.20               kietiakas   
Surname1223   Name1223   8.08                7.60               kietiakas   
Surname1224   Name1224   3.60                3.60               vargsiukas  
Surname1225   Name1225   8.72                8.80               kietiakas   
Surname1226   Name1226   7.36                6.80               kietiakas   
Surname1227   Name1227   2.76                2.60               vargsiukas  
Surname1228   Name1228   7.92                7.60               kietiakas   
Surname1229   Name1229   6.40                6.40               kietiakas   
Surname123    Name123    6.60                6.60               kietiakas   
Surname1230   Name1230   4.76                4.60               vargsiukas  
Surname1231   Name1231   7.32                7.40               kietiakas   
Surname1232   Name1232   2.76                3.40               vargsiukas  
Surname1233   Name1233   6.28                5.80               kietiakas   
Surname1234   Name1234   4.80                5.20               vargsiukas  
Surname1235   Name1235   6.52                7.00               kietiakas   
Surname1236   Name1236   6.56                6.80               kietiakas   
Surname1237   Name1237   6.64                7.60               kietiakas   
Surname1238   Name1238   6.40                6.40               kietiakas   
Surname1239   Name1239   6.44                5.80               kietiakas   
Surname124    Name124    5.32                5.80               kietiakas   
Surname1240   Name1240   6.12                5.80               kietiakas   
Surname1241   Name1241   2.36                1.80               vargsiukas  
Surname1242   Name1242   6.84                6.60               kietiakas   
Surname1243   Name1243   4.88                5.20               vargsiukas  
Surname1244   Name1244   7.24                7.00               kietiakas   
Surname1245   Name1245   6.00                6.00               kietiakas   
Surname1246   Name1246   3.08                3.80               vargsiukas  
Surname1247   Name1247   5.24                5.00               kietiakas   
Surname1248   Name1248   4.32                4.40               vargsiukas  
Surname1249   Name1249   6.48                6.00               kietiakas   
Surname125    Name125    7.76                7.60               kietiakas   
Surname1250   Name1250   5.72                6.20               kietiakas   
Surname1251   Name1251   3.56                3.00               vargsiukas  
Surname1252   Name1252   7.28                7.60               kietiakas   
Surname1253   Name1253   7.92                8.00               kietiakas   
Surname1254   Name1254   5.60                5.60               kietiakas   
Surname1255   Name1255   2.56                2.40               vargsiukas  
Surname1256   Name1256   8.12                9.00               kietiakas   
Surname1257   Name1257   3.76                3.60               vargsiukas  
Surname1258   Name1258   5.00                5.00               kietiakas   
Surname1259   Name1259   3.32                3.40               vargsiukas  
Surname126    Name126    5.08                5.00               kietiakas   
Surname1260   Name1260   4.20                4.20               vargsiukas  
Surname1261   Name1261   3.72                3.40               vargsiukas  
Surname1262   Name1262   3.28                2.40               vargsiukas  
Surname1263   Name1263   4.12                3.80               vargsiukas  
Surname1264   Name1264   4.84                5.00               vargsiukas  
Surname1265   Name1265   7.28                7.20               kietiakas   
Surname1266   Name1266   4.28                4.20               vargsiukas  
Surname1267   Name1267   6.44                6.60               kietiakas   
Surname1268   Name1268   5.88                5.80               kietiakas   
Surname1269   Name1269   6.28                6.60               kietiakas   
Surname127    Name127    7.36                7.60               kietiakas   
Surname1270   Name1270   2.64                3.20               vargsiukas  
Surname1271   Name1271   4.80                5.60               vargsiukas  
Surname1272   Name1272   6.28                5.80               kietiakas   
Surname1273   Name1273   5.12                5.20               kietiakas   
Surname1274   Name1274   6.92                7.00               kietiakas   
Surname1275   Name1275   4.16                4.40               vargsiukas  
Surname1276   Name1276   3.52                3.20               vargsiukas  
Surname1277   Name1277   5.88                6.20               kietiakas   
Surname1278   Name1278   5.04                4.80               kietiakas   
Surname1279   Name1279   4.72                4.40               vargsiukas  
Surname128    Name128    4.08                4.00               vargsiukas  
Surname1280   Name1280   6.60                7.00               kietiakas   
Surname1281   Name1281   2.28                2.20               vargsiukas  
Surname1282   Name1282   6.88                6.40               kietiakas   
Surname1283   Name1283   6.72                6.00               kietiakas   
Surname1284   Name1284   4.32                4.00               vargsiukas  
Surname1285   Name1285   9.20                9.20               kietiakas   
Surname1286   Name1286   3.20                3.20               vargsiukas  
Surname1287   Name1287   5.12                5.60               kietiakas   
Surname1288   Name1288   6.92                6.20               kietiakas   
Surname1289   Name1289   7.96                7.80               kietiakas   
Surname129    Name129    1.96                1.80               vargsiukas  
Surname1290   Name1290   5.28                5.60               kietiakas   
Surname1291   Name1291   4.28                4.60               vargsiukas  
Surname1292   Name1292   4.64                5.20               vargsiukas  
Surname1293   Name1293   4.84                5.00               vargsiukas  
Surname1294   Name1294   5.28                4.40               kietiakas   
Surname1295   Name1295   5.68                6.00               kietiakas   
Surname1296   Name1296   5.20                5.60               kietiakas   
Surname1297   Name1297   5.36                5.20               kietiakas   
Surname1298   Name1298   6.36                5.40               kietiakas   
Surname1299   Name1299   6.60                6.60               kietiakas   
Surname13     Name13     4.76                4.60               vargsiukas  
Surname130    Name130    5.48                5.40               kietiakas   
Surname1300   Name1300   5.76                6.80               kietiakas   
Surname1301   Name1301   5.24                5.00               kietiakas   
Surname1302   Name1302   4.36                4.20               vargsiukas  
Surname1303   Name1303   4.00                3.60               vargsiukas  
Surname1304   Name1304   5.36                5.60               kietiakas   
Surname1305   Name1305   3.60                3.20               vargsiukas  
Surname1306   Name1306   4.68                4.60               vargsiukas  
Surname1307   Name1307   3.00                3.40               vargsiukas  
Surname1308   Name1308   4.44                4.20               vargsiukas  
Surname1309   Name1309   7.28                7.20               kietiakas   
Surname131    Name131    7.88                8.20               kietiakas   
Surname1310   Name1310   4.56                4.40               vargsiukas  
Surname1311   Name1311   5.00                5.00               kietiakas   
Surname1312   Name1312   5.16                5.40               kietiakas   
Surname1313   Name1313   5.56                5.40               kietiakas   
Surname1314   Name1314   5.40                5.40               kietiakas   
Surname1315   Name1315   5.60                5.20               kietiakas   
Surname1316   Name1316   6.88                7.20               kietiakas   
Surname1317   Name1317   5.08                5.00               kietiakas   
Surname1318   Name1318   7.20                8.00               kietiakas   
Surname1319   Name1319   5.76                5.60               kietiakas   
Surname132    Name132    7.36                6.40               kietiakas   
Surname1320   Name1320   6.04                5.40               kietiakas   
Surname1321   Name1321   2.36                2.20               vargsiukas  
Surname1322   Name1322   5.36                5.60               kietiakas   
Surname1323   Name1323   5.52                5.20               kietiakas   
Surname1324   Name1324   2.76                2.60               vargsiukas  
Surname1325   Name1325   5.68                6.00               kietiakas   
Surname1326   Name1326   3.08                3.00               vargsiukas  
Surname1327   Name1327   7.80                7.40               kietiakas   
Surname1328   Name1328   4.52                4.20               vargsiukas  
Surname1329   Name1329   7.32                7.80               kietiakas   
Surname133    Name133    5.68                5.60               kietiakas   
Surname1330   Name1330   6.48                7.20               kietiakas   
Surname1331   Name1331   2.04                1.80               vargsiukas  
Surname1332   Name1332   6.16                5.60               kietiakas   
Surname1333   Name1333   5.28                4.80               kietiakas   
Surname1334   Name1334   8.32                8.00               kietiakas   
Surname1335   Name1335   7.80                7.00               kietiakas   
Surname1336   Name1336   3.32                3.00               vargsiukas  
Surname1337   Name1337   6.88                6.80               kietiakas   
Surname1338   Name1338   7.44                8.00               kietiakas   
Surname1339   Name1339   4.84                4.20               vargsiukas  
Surname134    Name134    4.36                4.20               vargsiukas  
Surname1340   Name1340   8.80                8.80               kietiakas   
Surname1341   Name1341   7.24                7.40               kietiakas   
Surname1342   Name1342   4.40                4.80               vargsiukas  
Surname1343   Name1343   7.48                7.00               kietiakas   
Surname1344   Name1344   4.92                4.60               vargsiukas  
Surname1345   Name1345   2.60                3.00               vargsiukas  
Surname1346   Name1346   3.12                3.20               vargsiukas  
Surname1347   Name1347   5.16                5.40               kietiakas   
Surname1348   Name1348   2.84                3.00               vargsiukas  
Surname1349   Name1349   6.60                6.60               kietiakas   
Surname135    Name135    7.60                7.20               kietiakas   
Surname1350   Name1350   4.12                4.60               vargsiukas  
Surname1351   Name1351   6.52                5.80               kietiakas   
Surname1352   Name1352   2.88                2.00               vargsiukas  
Surname1353   Name1353   5.88                5.40               kietiakas   
Surname1354   Name1354   5.28                5.20               kietiakas   
Surname1355   Name1355   8.36                8.60               kietiakas   
Surname1356   Name1356   6.04                5.40               kietiakas   
Surname1357   Name1357   7.28                6.80               kietiakas   
Surname1358   Name1358   6.20                6.60               kietiakas   
Surname1359   Name1359   4.16                4.40               vargsiukas  
Surname136    Name136    7.88                8.20               kietiakas   
Surname1360   Name1360   5.48                6.60               kietiakas   
Surname1361   Name1361   3.72                3.80               vargsiukas  
Surname1362   Name1362   7.96                8.20               kietiakas   
Surname1363   Name1363   4.88                4.80               vargsiukas  
Surname1364   Name1364   2.28                2.20               vargsiukas  
Surname1365   Name1365   7.04                6.80               kietiakas   
Surname1366   Name1366   4.00                4.40               vargsiukas  
Surname1367   Name1367   3.64                3.00               vargsiukas  
Surname1368   Name1368   7.08                7.40               kietiakas   
Surname1369   Name1369   7.52                7.20               kietiakas   
Surname137    Name137    7.60                7.60               kietiakas   
Surname1370   Name1370   8.16                7.60               kietiakas   
Surname1371   Name1371   5.72                6.20               kietiakas   
Surname1372   Name1372   3.16                3.00               vargsiukas  
Surname1373   Name1373   4.64                3.60               vargsiukas  
Surname1374   Name1374   2.76                2.60               vargsiukas  
Surname1375   Name1375   7.12                7.20               kietiakas   
Surname1376   Name1376   3.28                3.60               vargsiukas  
Surname1377   Name1377   5.40                5.40               kietiakas   
Surname1378   Name1378   4.80                5.20               vargsiukas  
Surname1379   Name1379   1.88                1.80               vargsiukas  
Surname138    Name138    5.84                6.00               kietiakas   
Surname1380   Name1380   6.32                6.00               kietiakas   
Surname1381   Name1381   8.20                9.00               kietiakas   
Surname1382   Name1382   2.92                3.00               vargsiukas  
Surname1383   Name1383   7.20                6.80               kietiakas   
Surname1384   Name1384   2.92                2.20               vargsiukas  
Surname1385   Name1385   5.04                4.80               kietiakas   
Surname1386   Name1386   3.00                2.60               vargsiukas  
Surname1387   Name1387   4.60                4.60               vargsiukas  
Surname1388   Name1388   3.84                4.40               vargsiukas  
Surname1389   Name1389   7.36                6.80               kietiakas   
Surname139    Name139    4.04                3.40               vargsiukas  
Surname1390   Name1390   4.24                4.40               vargsiukas  
Surname1391   Name1391   6.48                6.00               kietiakas   
Surname1392   Name1392   8.28                8.20               kietiakas   
Surname1393   Name1393   3.84                3.60               vargsiukas  
Surname1394   Name1394   8.16                8.00               kietiakas   
Surname1395   Name1395   2.76                2.20               vargsiukas  
Surname1396   Name1396   6.68                6.60               kietiakas   
Surname1397   Name1397   5.68                6.00               kietiakas   
Surname1398   Name1398   2.68                3.00               vargsiukas  
Surname1399   Name1399   4.44                4.60               vargsiukas  
Surname14     Name14     6.04                6.20               kietiakas   
Surname140    Name140    3.92                4.00               vargsiukas  
Surname1400   Name1400   4.20                3.80               vargsiukas  
Surname1401   Name1401   5.36                5.20               kietiakas   
Surname1402   Name1402   7.96                7.80               kietiakas   
Surname1403   Name1403   7.56                7.80               kietiakas   
Surname1404   Name1404   5.84                5.60               kietiakas   
Surname1405   Name1405   3.40                3.40               vargsiukas  
Surname1406   Name1406   3.24                3.00               vargsiukas  
Surname1407   Name1407   6.28                6.60               kietiakas   
Surname1408   Name1408   6.64                6.00               kietiakas   
Surname1409   Name1409   6.12                5.80               kietiakas   
Surname141    Name141    4.88                4.40               vargsiukas  
Surname1410   Name1410   3.64                4.60               vargsiukas  
Surname1411   Name1411   5.40                5.80               kietiakas   
Surname1412   Name1412   5.36                5.60               kietiakas   
Surname1413   Name1413   5.96                6.20               kietiakas   
Surname1414   Name1414   7.68                8.00               kietiakas   
Surname1415   Name1415   4.76                5.00               vargsiukas  
Surname1416   Name1416   7.56                7.40               kietiakas   
Surname1417   Name1417   2.68                2.60               vargsiukas  
Surname1418   Name1418   6.96                7.20               kietiakas   
Surname1419   Name1419   1.88                1.80               vargsiukas  
Surname142    Name142    5.96                6.20               kietiakas   
Surname1420   Name1420   4.44                4.20               vargsiukas  
Surname1421   Name1421   3.00                3.00               vargsiukas  
Surname1422   Name1422   6.68                7.00               kietiakas   
Surname1423   Name1423   7.52                8.40               kietiakas   
Surname1424   Name1424   1.48                1.40               vargsiukas  
Surname1425   Name1425   3.24                3.40               vargsiukas  
Surname1426   Name1426   4.32                4.40               vargsiukas  
Surname1427   Name1427   4.72                5.20               vargsiukas  
Surname1428   Name1428   3.28                4.00               vargsiukas  
Surname1429   Name1429   4.16                3.60               vargsiukas  
Surname143    Name143    8.12                7.80               kietiakas   
Surname1430   Name1430   5.76                6.40               kietiakas   
Surname1431   Name1431   2.64                2.40               vargsiukas  
Surname1432   Name1432   3.28                3.60               vargsiukas  
Surname1433   Name1433   3.20                3.20               vargsiukas  
Surname1434   Name1434   7.92                8.00               kietiakas   
Surname1435   Name1435   4.28                4.20               vargsiukas  
Surname1436   Name1436   7.52                8.00               kietiakas   
Surname1437   Name1437   8.12                8.20               kietiakas   
Surname1438   Name1438   3.64                3.40               vargsiukas  
Surname1439   Name1439   4.40                4.00               vargsiukas  
Surname144    Name144    4.04                4.60               vargsiukas  
Surname1440   Name1440   5.00                4.60               kietiakas   
Surname1441   Name1441   2.12                2.20               vargsiukas  
Surname1442   Name1442   7.88                8.20               kietiakas   
Surname1443   Name1443   5.96                6.60               kietiakas   
Surname1444   Name1444   2.44                2.20               vargsiukas  
Surname1445   Name1445   4.68                4.60               vargsiukas  
Surname1446   Name1446   5.96                6.20               kietiakas   
Surname1447   Name1447   5.04                6.00               kietiakas   
Surname1448   Name1448   4.80                4.80               vargsiukas  
Surname1449   Name1449   5.08                5.00               kietiakas   
Surname145    Name145    4.12                4.20               vargsiukas  
Surname1450   Name1450   3.96                4.60               vargsiukas  
Surname1451   Name1451   2.52                2.60               vargsiukas  
Surname1452   Name1452   5.92                6.80               kietiakas   
Surname1453   Name1453   4.96                4.80               vargsiukas  
Surname1454   Name1454   7.32                7.00               kietiakas   
Surname1455   Name1455   3.76                3.60               vargsiukas  
Surname1456   Name1456   4.24                4.80               vargsiukas  
Surname1457   Name1457   4.36                4.60               vargsiukas  
Surname1458   Name1458   3.40                3.80               vargsiukas  
Surname1459   Name1459   2.72                2.80               vargsiukas  
Surname146    Name146    3.60                3.60               vargsiukas  
Surname1460   Name1460   5.20                4.40               kietiakas   
Surname1461   Name1461   5.48                5.40               kietiakas   
Surname1462   Name1462   3.72                3.00               vargsiukas  
Surname1463   Name1463   5.96                6.20               kietiakas   
Surname1464   Name1464   6.72                7.20               kietiakas   
Surname1465   Name1465   6.76                7.00               kietiakas   
Surname1466   Name1466   6.40                6.40               kietiakas   
Surname1467   Name1467   8.24                8.00               kietiakas   
Surname1468   Name1468   9.44                9.60               kietiakas   
Surname1469   Name1469   4.20                4.20               vargsiukas  
Surname147    Name147    2.80                2.40               vargsiukas  
Surname1470   Name1470   2.88                2.40               vargsiukas  
Surname1471   Name1471   6.16                6.40               kietiakas   
Surname1472   Name1472   3.08                3.40               vargsiukas  
Surname1473   Name1473   8.08                8.40               kietiakas   
Surname1474   Name1474   4.72                4.80               vargsiukas  
Surname1475   Name1475   7.24                7.00               kietiakas   
